,Query,Precision,Recall,F-measure
0,0.0,0.1,0.034482758620689655,0.05128205128205129
1,1.0,0.0,0.0,0.0
2,2.0,0.1,0.1111111111111111,0.10526315789473685
3,3.0,0.0,0.0,0.0
4,4.0,0.0,0.0,0.0
5,5.0,0.0,0.0,0.0
6,6.0,0.1,0.16666666666666666,0.125
7,7.0,0.1,0.08333333333333333,0.0909090909090909
8,8.0,0.0,0.0,0.0
9,9.0,0.1,0.1111111111111111,0.10526315789473685
10,10.0,0.0,0.0,0.0
11,11.0,0.0,0.0,0.0
12,12.0,0.0,0.0,0.0
13,13.0,0.0,0.0,0.0
14,14.0,0.0,0.0,0.0
15,15.0,0.0,0.0,0.0
16,16.0,0.0,0.0,0.0
17,17.0,0.0,0.0,0.0
18,18.0,0.0,0.0,0.0
19,19.0,0.0,0.0,0.0
