,Query,Precision,Recall,F-measure
0,0.0,0.5,0.1724137931034483,0.25641025641025644
1,1.0,0.2,0.08,0.11428571428571428
2,2.0,0.4,0.4444444444444444,0.4210526315789474
3,3.0,0.1,0.3333333333333333,0.15384615384615383
4,4.0,0.0,0.0,0.0
5,5.0,0.0,0.0,0.0
6,6.0,0.2,0.3333333333333333,0.25
7,7.0,0.3,0.25,0.2727272727272727
8,8.0,0.3,0.75,0.4285714285714285
9,9.0,0.2,0.2222222222222222,0.2105263157894737
10,10.0,0.2,0.25,0.22222222222222224
11,11.0,0.0,0.0,0.0
12,12.0,0.0,0.0,0.0
13,13.0,0.1,0.3333333333333333,0.15384615384615383
14,14.0,0.1,0.3333333333333333,0.15384615384615383
15,15.0,0.2,0.5,0.28571428571428575
16,16.0,0.0,0.0,0.0
17,17.0,0.1,0.25,0.14285714285714288
18,18.0,0.0,0.0,0.0
19,19.0,0.3,0.3,0.3
