,Query,Precision,Recall,F-measure
0,0.0,0.5,0.1724137931034483,0.25641025641025644
1,1.0,0.4,0.16,0.22857142857142856
2,2.0,0.7,0.7777777777777778,0.7368421052631577
3,3.0,0.2,0.6666666666666666,0.30769230769230765
4,4.0,0.2,0.4,0.26666666666666666
5,5.0,0.0,0.0,0.0
6,6.0,0.2,0.3333333333333333,0.25
7,7.0,0.2,0.16666666666666666,0.1818181818181818
8,8.0,0.3,0.75,0.4285714285714285
9,9.0,0.2,0.2222222222222222,0.2105263157894737
10,10.0,0.2,0.25,0.22222222222222224
11,11.0,0.2,0.3333333333333333,0.25
12,12.0,0.1,0.2,0.13333333333333333
13,13.0,0.1,0.3333333333333333,0.15384615384615383
14,14.0,0.2,0.6666666666666666,0.30769230769230765
15,15.0,0.3,0.75,0.4285714285714285
16,16.0,0.2,0.6666666666666666,0.30769230769230765
17,17.0,0.2,0.5,0.28571428571428575
18,18.0,0.0,0.0,0.0
19,19.0,0.5,0.5,0.5
